24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 19:42:12 | GET | cafeteria-api/categorias
31-03-2026 19:42:13 | OPTIONS | cafeteria-api/categorias/8
31-03-2026 19:42:13 | DELETE | cafeteria-api/categorias/8
31-03-2026 19:42:14 | DELETE | cafeteria-api/categorias/8
31-03-2026 19:42:15 | DELETE | cafeteria-api/categorias/8
31-03-2026 19:42:15 | DELETE | cafeteria-api/categorias/8
31-03-2026 19:42:15 | DELETE | cafeteria-api/categorias/8
31-03-2026 19:42:15 | DELETE | cafeteria-api/categorias/8
31-03-2026 19:52:48 | GET | cafeteria-api/produtos
31-03-2026 19:52:53 | GET | cafeteria-api/produtos
31-03-2026 19:52:56 | GET | cafeteria-api/produtos
31-03-2026 19:52:57 | GET | cafeteria-api/produtos
31-03-2026 19:52:58 | GET | cafeteria-api/produtos
31-03-2026 19:52:59 | GET | cafeteria-api/produtos
31-03-2026 19:53:04 | GET | cafeteria-api/produtos
31-03-2026 19:53:10 | GET | cafeteria-api/produtos
31-03-2026 19:53:36 | GET | cafeteria-api/produtos
31-03-2026 19:53:38 | GET | cafeteria-api/produtos
31-03-2026 19:53:58 | GET | cafeteria-api/produtos
31-03-2026 19:54:15 | GET | cafeteria-api/produtos
31-03-2026 19:54:16 | GET | cafeteria-api/produtos
31-03-2026 19:54:19 | GET | cafeteria-api/produtos
31-03-2026 19:54:20 | GET | cafeteria-api/categorias
31-03-2026 19:54:21 | GET | cafeteria-api/produtos
31-03-2026 19:54:23 | GET | cafeteria-api/categorias
31-03-2026 19:54:24 | GET | cafeteria-api/produtos
31-03-2026 19:54:34 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:54:34 | POST | cafeteria-api/produtos
31-03-2026 19:54:34 | GET | cafeteria-api/produtos
31-03-2026 19:55:42 | GET | cafeteria-api/produtos
31-03-2026 19:55:48 | GET | cafeteria-api/produtos
31-03-2026 19:56:10 | GET | cafeteria-api/produtos
31-03-2026 19:56:10 | GET | cafeteria-api/produtos
31-03-2026 19:56:18 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:56:18 | POST | cafeteria-api/produtos
31-03-2026 19:56:18 | GET | cafeteria-api/produtos
31-03-2026 19:56:21 | GET | cafeteria-api/categorias
31-03-2026 19:56:27 | POST | cafeteria-api/categorias
31-03-2026 19:56:27 | GET | cafeteria-api/categorias
31-03-2026 19:56:28 | GET | cafeteria-api/produtos
31-03-2026 19:57:01 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:57:01 | POST | cafeteria-api/produtos
31-03-2026 19:57:01 | GET | cafeteria-api/produtos
31-03-2026 19:57:34 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:57:34 | POST | cafeteria-api/produtos
31-03-2026 19:57:34 | GET | cafeteria-api/produtos
31-03-2026 20:00:20 | OPTIONS | cafeteria-api/produtos/8
31-03-2026 20:00:20 | DELETE | cafeteria-api/produtos/8
31-03-2026 20:00:20 | GET | cafeteria-api/produtos
31-03-2026 20:03:42 | GET | cafeteria-api/categorias
31-03-2026 20:03:45 | GET | cafeteria-api/produtos
31-03-2026 20:03:47 | GET | cafeteria-api/categorias
31-03-2026 20:03:50 | POST | cafeteria-api/categorias
31-03-2026 20:03:50 | GET | cafeteria-api/categorias
31-03-2026 20:03:51 | GET | cafeteria-api/categorias
31-03-2026 20:03:51 | GET | cafeteria-api/produtos
31-03-2026 20:04:06 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:04:06 | POST | cafeteria-api/produtos
31-03-2026 20:04:06 | GET | cafeteria-api/produtos
31-03-2026 20:04:08 | GET | cafeteria-api/categorias
31-03-2026 20:11:29 | GET | cafeteria-api/produtos
31-03-2026 20:11:43 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:11:43 | POST | cafeteria-api/produtos
31-03-2026 20:11:43 | GET | cafeteria-api/produtos
31-03-2026 20:11:53 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:11:53 | POST | cafeteria-api/produtos
31-03-2026 20:11:53 | GET | cafeteria-api/produtos
31-03-2026 20:11:56 | OPTIONS | cafeteria-api/produtos/10
31-03-2026 20:11:56 | DELETE | cafeteria-api/produtos/10
31-03-2026 20:11:56 | GET | cafeteria-api/produtos
31-03-2026 20:12:01 | GET | cafeteria-api/categorias
07-04-2026 12:54:26 | GET | cafeteria-api/categorias
07-04-2026 12:54:27 | GET | cafeteria-api/produtos
07-04-2026 13:10:11 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:10:11 | POST | cafeteria-api/produtos
07-04-2026 13:10:11 | GET | cafeteria-api/produtos
07-04-2026 13:10:22 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:10:22 | POST | cafeteria-api/produtos
07-04-2026 13:10:22 | GET | cafeteria-api/produtos
07-04-2026 15:32:37 | GET | cafeteria-api/produtos
07-04-2026 15:32:54 | GET | cafeteria-api/produtos
07-04-2026 15:33:02 | GET | cafeteria-api/produtos
07-04-2026 15:33:03 | GET | cafeteria-api/produtos
07-04-2026 15:37:06 | GET | cafeteria-api/produtos
07-04-2026 15:37:08 | GET | cafeteria-api/produtos
07-04-2026 15:37:16 | GET | cafeteria-api/produtos
07-04-2026 15:37:22 | GET | cafeteria-api/produtos
07-04-2026 15:37:29 | GET | cafeteria-api/produtos
07-04-2026 15:37:31 | GET | cafeteria-api/produtos
07-04-2026 15:38:44 | GET | cafeteria-api/produtos
07-04-2026 15:38:54 | GET | cafeteria-api/produtos
07-04-2026 15:38:56 | GET | cafeteria-api/produtos
07-04-2026 15:39:00 | GET | cafeteria-api/produtos
07-04-2026 15:39:46 | GET | cafeteria-api/produtos
07-04-2026 15:39:52 | GET | cafeteria-api/produtos
07-04-2026 15:39:59 | GET | cafeteria-api/produtos
07-04-2026 15:40:03 | GET | cafeteria-api/produtos
07-04-2026 15:40:05 | GET | cafeteria-api/produtos
07-04-2026 15:40:12 | GET | cafeteria-api/pedidos
07-04-2026 15:40:39 | GET | cafeteria-api/pedidos
07-04-2026 15:40:41 | GET | cafeteria-api/pedidos
07-04-2026 15:40:58 | GET | cafeteria-api/pedidos
07-04-2026 15:41:07 | GET | cafeteria-api/pedidos
07-04-2026 15:41:11 | GET | cafeteria-api/pedidos
07-04-2026 15:41:13 | GET | cafeteria-api/pedidos
07-04-2026 15:41:19 | GET | cafeteria-api/pedidos
