2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:25:17 | GET | meus-planos-api/categorias
2026-04-10 14:25:26 | GET | meus-planos-api/categorias
2026-04-10 14:25:26 | GET | meus-planos-api/categorias
2026-04-10 14:25:32 | GET | meus-planos-api/categorias
2026-04-10 14:25:32 | GET | meus-planos-api/categorias
2026-04-10 14:25:48 | GET | meus-planos-api/categorias
2026-04-10 14:25:48 | GET | meus-planos-api/categorias
2026-04-10 14:27:09 | POST | meus-planos-api/categorias
2026-04-10 14:27:09 | GET | meus-planos-api/categorias
2026-04-10 14:27:21 | GET | meus-planos-api/categorias
2026-04-10 14:27:24 | GET | meus-planos-api/categorias
2026-04-10 14:27:26 | GET | meus-planos-api/categorias
2026-04-10 14:27:32 | GET | meus-planos-api/categorias
2026-04-10 14:27:36 | GET | meus-planos-api/categorias
2026-04-10 14:27:39 | GET | meus-planos-api/categorias
2026-04-10 14:27:48 | GET | meus-planos-api/categorias
2026-04-10 14:29:05 | GET | meus-planos-api/categorias
2026-04-10 14:29:12 | GET | meus-planos-api/categorias
2026-04-10 14:29:17 | GET | meus-planos-api/categorias
2026-04-10 14:29:20 | GET | meus-planos-api/categorias
2026-04-10 14:29:25 | GET | meus-planos-api/categorias
2026-04-10 14:29:26 | GET | meus-planos-api/categorias
2026-04-10 14:32:00 | GET | meus-planos-api/categorias
2026-04-10 14:32:03 | GET | meus-planos-api/categorias
2026-04-10 14:32:06 | GET | meus-planos-api/categorias
2026-04-10 14:32:16 | GET | meus-planos-api/categorias
2026-04-10 14:35:34 | GET | meus-planos-api/categorias
2026-04-10 14:35:35 | GET | meus-planos-api/categorias
2026-04-10 14:35:35 | GET | meus-planos-api/categorias
2026-04-10 14:42:06 | GET | meus-planos-api/categorias
2026-04-10 14:49:14 | GET | meus-planos-api/categorias
2026-04-10 14:53:32 | GET | meus-planos-api/categorias
2026-04-10 14:55:05 | GET | meus-planos-api/itens
2026-04-10 14:55:05 | GET | meus-planos-api/categorias
2026-04-10 14:55:07 | GET | meus-planos-api/itens
2026-04-10 14:55:07 | GET | meus-planos-api/categorias
2026-04-10 14:55:08 | GET | meus-planos-api/categorias
2026-04-10 14:55:08 | GET | meus-planos-api/itens
2026-04-10 14:55:14 | OPTIONS | meus-planos-api/itens
2026-04-10 14:55:14 | POST | meus-planos-api/itens
2026-04-10 14:55:14 | GET | meus-planos-api/itens
2026-04-10 14:55:25 | OPTIONS | meus-planos-api/itens
2026-04-10 14:55:25 | POST | meus-planos-api/itens
2026-04-10 14:55:25 | GET | meus-planos-api/itens
2026-04-10 14:56:19 | GET | meus-planos-api/categorias
2026-04-10 14:56:19 | GET | meus-planos-api/itens
2026-04-10 14:56:21 | GET | meus-planos-api/categorias
2026-04-10 14:56:21 | GET | meus-planos-api/itens
2026-04-10 14:56:38 | GET | meus-planos-api/categorias
2026-04-10 14:56:38 | GET | meus-planos-api/itens
2026-04-10 14:56:41 | GET | meus-planos-api/categorias
2026-04-10 14:56:41 | GET | meus-planos-api/itens
2026-04-10 14:58:37 | GET | meus-planos-api/categorias
2026-04-10 14:58:37 | GET | meus-planos-api/itens
2026-04-10 14:59:33 | GET | meus-planos-api/categorias
2026-04-10 14:59:33 | GET | meus-planos-api/itens
2026-04-10 14:59:35 | OPTIONS | meus-planos-api/itens/1
2026-04-10 14:59:35 | PUT | meus-planos-api/itens/1
2026-04-10 14:59:38 | GET | meus-planos-api/categorias
2026-04-10 14:59:44 | GET | meus-planos-api/categorias
2026-04-10 14:59:46 | GET | meus-planos-api/categorias
2026-04-10 15:28:19 | GET | meus-planos-api/categorias
2026-04-10 15:28:19 | GET | meus-planos-api/itens
2026-04-10 15:28:30 | OPTIONS | meus-planos-api/itens/1
2026-04-10 15:28:30 | PUT | meus-planos-api/itens/1
2026-04-10 15:28:31 | PUT | meus-planos-api/itens/1
